prompt,rule,seed,move,eat,throw,move_prop,eat_prop,throw_prop
cooperative,selfish,4,57,17,1,0.76,0.22666666666666666,0.013333333333333334
cooperative,selfish,5,58,14,3,0.7733333333333333,0.18666666666666668,0.04
cooperative,selfish,6,59,14,2,0.7866666666666666,0.18666666666666668,0.02666666666666667
cooperative,selfish,7,57,15,2,0.76,0.2,0.02666666666666667
cooperative,selfish,8,56,17,2,0.7466666666666667,0.22666666666666666,0.02666666666666667
cooperative,selfish,9,52,20,3,0.6933333333333334,0.26666666666666666,0.04
cooperative,selfless,1,24,11,39,0.32,0.14666666666666667,0.52
cooperative,selfless,10,38,12,25,0.5066666666666667,0.16,0.3333333333333333
cooperative,selfless,2,28,12,35,0.37333333333333335,0.16,0.4666666666666667
cooperative,selfless,3,35,12,28,0.4666666666666667,0.16,0.37333333333333335
cooperative,selfless,4,26,9,39,0.3466666666666667,0.12,0.52
cooperative,selfless,5,28,12,35,0.37333333333333335,0.16,0.4666666666666667
cooperative,selfless,6,39,11,25,0.52,0.14666666666666667,0.3333333333333333
cooperative,selfless,7,37,12,26,0.49333333333333335,0.16,0.3466666666666667
cooperative,selfless,8,27,11,36,0.36,0.14666666666666667,0.48
cooperative,selfless,9,30,11,32,0.4,0.14666666666666667,0.4266666666666667
cooperative,utilitarian,1,26,11,38,0.3466666666666667,0.14666666666666667,0.5066666666666667
cooperative,utilitarian,10,28,11,36,0.37333333333333335,0.14666666666666667,0.48
cooperative,utilitarian,2,35,11,29,0.4666666666666667,0.14666666666666667,0.38666666666666666
cooperative,utilitarian,3,29,12,33,0.38666666666666666,0.16,0.44
cooperative,utilitarian,4,21,12,42,0.28,0.16,0.56
cooperative,utilitarian,5,25,12,36,0.3333333333333333,0.16,0.48
cooperative,utilitarian,6,22,12,40,0.29333333333333333,0.16,0.5333333333333333
cooperative,utilitarian,7,24,11,38,0.32,0.14666666666666667,0.5066666666666667
cooperative,utilitarian,8,30,11,34,0.4,0.14666666666666667,0.4533333333333333
cooperative,utilitarian,9,35,11,28,0.4666666666666667,0.14666666666666667,0.37333333333333335
None,selfish,1,62,13,0,0.8266666666666667,0.17333333333333334,0.0
None,selfish,10,51,24,0,0.68,0.32,0.0
None,selfish,2,59,16,0,0.7866666666666666,0.21333333333333335,0.0
None,selfish,3,52,23,0,0.6933333333333334,0.30666666666666664,0.0
None,selfish,4,60,15,0,0.8,0.2,0.0
None,selfish,5,61,14,0,0.8133333333333334,0.18666666666666668,0.0
None,selfish,6,55,20,0,0.7333333333333333,0.26666666666666666,0.0
None,selfish,7,64,11,0,0.8533333333333334,0.14666666666666667,0.0
None,selfish,8,58,17,0,0.7733333333333333,0.22666666666666666,0.0
None,selfish,9,53,22,0,0.7066666666666667,0.29333333333333333,0.0
None,selfless,1,24,11,40,0.32,0.14666666666666667,0.5333333333333333
